CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9666536,2,1,4,-,49,6,-,-,-,-,VENTURA,VENTURA,2024
9683642,1,1,4,M,36,3,-,P,V,1,VENTURA,OXNARD,2024
9689779,1,1,4,M,11,6,1,P,V,0,VENTURA,VENTURA,2024
9689779,2,1,2,F,12,0,3,M,G,0,VENTURA,VENTURA,2024
9712991,1,1,4,M,43,3,-,P,V,1,VENTURA,OXNARD,2024
9716446,2,1,3,F,38,3,-,P,-,1,VENTURA,OXNARD,2024
9731008,2,1,3,F,49,4,-,P,-,-,VENTURA,OXNARD,2024
9733683,1,1,4,M,14,4,1,P,V,0,VENTURA,OXNARD,2024
9744586,2,1,3,F,28,4,-,P,-,1,VENTURA,OXNARD,2024
9744586,3,1,3,F,2,4,-,P,-,1,VENTURA,OXNARD,2024
9751749,2,1,3,M,70,3,-,P,-,0,VENTURA,OXNARD,2024
9752168,2,1,3,M,39,6,0,-,P,0,VENTURA,VENTURA,2024
9755236,2,1,3,M,23,7,0,P,-,0,VENTURA,VENTURA,2024
9760326,2,1,3,M,998,4,-,P,-,0,VENTURA,OXNARD,2024
9760960,2,1,3,M,55,3,-,-,-,-,VENTURA,VENTURA,2024
9763430,2,1,3,F,16,4,-,P,-,0,VENTURA,OXNARD,2024
9763626,1,1,4,M,16,7,-,P,X,0,VENTURA,OXNARD,2024
